pr,propierty,class
1171,99.47,3
1172,87.64,3
1173,99.59,3
1174,90.71,3
1175,93.21,3
1176,98.64,3
1177,87.86,3
1178,99.17,3
1179,90.46,3
1180,100,3
1181,99.68,3
1182,99.77,3
1183,99.91,3
1184,97.57,3
1185,99.38,3
1186,83.13,3
1187,99.94,3
1188,99.62,3
1189,99.24,3
1190,92.38,3
1191,89.17,3
1192,93.19,3
1193,96.26,3
1194,88.74,3
1195,99.91,3
1196,90.47,3
1197,95.47,3
1198,99.71,3
1199,89.28,3
1200,99.12,3
1201,89.83,3
1202,77.69,3
1203,98.54,3
1204,0.09,3
1205,87.07,3
1206,0.16,3
1207,97.19,3
1208,0.07,3
1209,95.52,3
1210,99.65,3
1211,96.84,3
1212,98.27,3
1213,96.17,3
1214,100,3
1215,94,3
1216,35.09,3
1217,83.27,3
1218,6.94,3
1219,53.72,3
1220,94.68,3
1221,6.43,3
1222,92.08,3
1223,18.84,3
1224,99.38,3
1225,72.56,3
1226,85.05,3
1227,7.72,3
1228,83.59,3
1229,2.2,3
1230,0.28,3
1231,4.26,3
1232,99.71,3
1233,0.43,3
1234,0.11,3
1235,99.9,3
1236,63.83,3
1237,61.1,3
1238,0.17,3
1239,97.14,3
1240,96.29,3
1241,97.88,3
1242,95.56,3
1243,98.57,3
1244,90.82,3
1245,93.32,3
1246,95.23,3
1247,99.32,3
1248,97.55,3
1249,95.76,3
1250,94.06,3
1251,91.81,3
1252,95.23,3
1253,99.21,3
1254,85.38,3
1255,92.08,3
1256,98.87,3
1257,99.7,3
1258,98.03,3
1259,94.74,3
1260,98.72,3
1261,99.71,3
1262,97.27,3
1263,96.92,3
1264,99.76,3
1265,99.05,3
1266,94.79,3
1267,98.98,3
1268,94.01,3
1269,88.35,3
1270,98.04,3
1271,98.59,3
1272,99.7,3
1273,99.64,3
1274,96.95,3
1275,98.81,3
1276,99.27,3
1277,95.87,3
1278,100,3
1279,95.82,3
1280,99.86,3
1281,80.85,3
1282,93.64,3
1283,74.79,3
1284,75.77,3
1285,99.74,3
1286,99.54,3
1287,99.88,3
1288,99.97,3
1289,99.75,3
1290,98.72,3
1291,99.76,3
1292,99.45,3
1293,57.15,3
1294,98.94,3
1295,99.61,3
1296,99.59,3
1297,96.52,3
1298,100,3
1299,99.21,3
1300,99.13,3
1301,30.2,3
1302,44.05,3
1303,98.96,3
1304,37.76,3
1305,74.95,3
1306,70.92,3
1307,60.81,3
1308,67.59,3
1309,26.62,3
1310,72.54,3
1311,59.29,3
1312,82.33,3
1313,75.53,3
1314,50.48,3
1315,80.65,3
1316,65.86,3
1317,72.25,3
1318,57.42,3
1319,54.04,3
1320,35.38,3
1321,82.72,3
1322,84.7,3
1323,100,3
1324,89.18,3
1325,97.77,3
1326,64.48,3
1327,79.66,3
1328,75.76,3
1329,75.93,3
1330,89.73,3
1331,80.02,3
1332,47.35,3
1333,42.69,3
1334,60.05,3
1335,31.3,3
1336,77.29,3
1337,71.16,3
1338,81.78,3
1339,47.28,3
1340,54.03,3
1341,88.95,3
1342,52.56,3
1343,86.16,3
1344,22.19,3
1345,53.89,3
1346,15.36,3
1347,39.6,3
1348,36.95,3
1349,62.79,3
1350,87.45,3
1351,89.94,3
1352,43.01,3
1353,59.94,3
1354,98.74,3
1355,97.58,3
1356,100,3
1357,99.35,3
1358,97.9,3
1359,86.58,3
1360,83.07,3
1361,94.65,3
1362,85.86,3
1363,93.77,3
1364,100,3
1365,98.93,3
1366,99.67,3
1367,99.62,3
1368,100,3
1369,76.27,3
1370,92.36,3
1371,54.44,3
1372,99.77,3
1373,100,3
1374,75.19,3
1375,99.61,3
1376,48.3,3
1377,77.13,3
1378,91.55,3
1379,85.25,3
1380,60.9,3
1381,88.01,3
1382,80.29,3
1383,77.45,3
